<<<<<<< Updated upstream
1|Ime|3|apartment|5|1|5|69|../../Resources/Images/add2.png
2|Ime|2|apartment|5|1|5|69|../../Resources/Images/sheraton.jpg
3|Strahinja Djukic|3|house|5|6|1|0|../../Resources/Images/sheraton.jpg
4|Apartmani Lux|4|apartment|5|5|5|3|../../Resources/Images/sheraton.jpg
5|Apartmani Stanisic|5|apartment|5|5|1|3|../../Resources/Images/sheraton.jpg
6|Ime|2|apartment|5|1|5|69|cao brate!
7|Ime|2|apartment|5|1|5|69|cao brate!
8|Ime|2|apartment|5|1|5|69|cao brate!
=======
1|Ime|3|apartment|5|1|5|69|../../Resources/Images/add2.png
2|Ime|2|apartment|5|1|5|69|../../Resources/Images/sheraton.jpg
3|Strahinja Djukic|3|house|5|6|1|0|../../Resources/Images/sheraton.jpg
4|Apartmani Lux|4|apartment|5|5|5|3|../../Resources/Images/sheraton.jpg
5|Apartmani Stanisic|5|apartment|5|5|1|3|../../Resources/Images/sheraton.jpg
6|Ime|2|apartment|5|1|5|69|cao brate!
7|Ime|2|apartment|5|1|5|69|cao brate!
>>>>>>> Stashed changes
